company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
Ranch Rider Spirits,10.0,0.0,,,Consumer Packaged Goods,Beverages,0.0,10.0,5.0,,,
The Coca-Cola Company,12.0,0.0,,,Consumer Packaged Goods,Beverages,0.0,12.0,6.0,,,
Total Wine & More,8.0,,4.0,,Consumer Packaged Goods,Beverages,,6.0,6.0,4.0,,
 Braum's Ice Cream & Dairy Store,3.0,1.0,,,Consumer Packaged Goods,Packaged Foods,1.0,3.0,2.0,,,3.0
Ajinomoto,9.0,12.0,,,Consumer Packaged Goods,Packaged Foods,12.0,9.0,10.5,,,0.75
Bimbo Bakeries USA,8.0,24.0,,,Consumer Packaged Goods,Packaged Foods,24.0,8.0,16.0,,,0.3333333333333333
Campbell Soup Company,10.0,0.0,,,Consumer Packaged Goods,Packaged Foods,0.0,10.0,5.0,,,
Frito-Lay,6.0,6.0,,,Consumer Packaged Goods,Packaged Foods,6.0,6.0,6.0,,,1.0
Impossible Foods,12.0,17.0,,,Consumer Packaged Goods,Packaged Foods,17.0,12.0,14.5,,,0.7058823529411765
Lindt & SprŸngli,6.0,6.0,,,Consumer Packaged Goods,Packaged Foods,6.0,6.0,6.0,,,1.0
Nestle,14.0,26.0,,,Consumer Packaged Goods,Packaged Foods,26.0,14.0,20.0,,,0.5384615384615384
R. M. Palmer Company,6.0,18.0,,,Consumer Packaged Goods,Packaged Foods,18.0,6.0,12.0,,,0.3333333333333333
Taylor Company,26.0,0.0,,,Consumer Packaged Goods,Packaged Foods,0.0,26.0,13.0,,,
The Coffee Bean & Tea Leaf,6.0,0.0,,,Consumer Packaged Goods,Packaged Foods,0.0,6.0,3.0,,,
"The Dannon Company, Inc.",20.0,0.0,,,Consumer Packaged Goods,Packaged Foods,0.0,20.0,10.0,,,
The J.M. Smucker Company,8.0,0.0,,,Consumer Packaged Goods,Packaged Foods,0.0,8.0,4.0,,,
WellPet LLC,12.0,12.0,,,Consumer Packaged Goods,Packaged Foods,12.0,12.0,12.0,,,1.0
Colgate-Palmolive Company,19.5,6.0,,,Consumer Packaged Goods,Packaged Products,6.0,19.5,12.75,,,3.25
Elanco Animal Health,12.0,12.0,,,Consumer Packaged Goods,Packaged Products,12.0,12.0,12.0,,,1.0
Henkel,8.0,3.0,,,Consumer Packaged Goods,Packaged Products,3.0,8.0,5.5,,,2.6666666666666665
Nestle Purina PetCare Company,8.5,0.0,,,Consumer Packaged Goods,Packaged Products,0.0,8.5,4.25,,,
Procter & Gamble,12.0,2.0,,,Consumer Packaged Goods,Packaged Products,2.0,12.0,7.0,,,6.0
The Scotts Miracle-Gro Company,10.0,0.0,,,Consumer Packaged Goods,Packaged Products,0.0,10.0,5.0,,,
"Altria Group, Inc.",6.0,0.0,,,Consumer Packaged Goods,Tobacco,0.0,6.0,3.0,,,
Reynolds American Inc.,16.0,,16.0,,Consumer Packaged Goods,Tobacco,,16.0,16.0,0.0,,
Munchkin,6.0,0.0,,,Consumer Packaged Goods,Toys and Baby Products,0.0,6.0,3.0,,,
Aesop,12.0,,6.0,,Cosmetics,,,9.0,9.0,6.0,,
Benefit Cosmetics LLC,12.0,4.0,,,Cosmetics,,4.0,12.0,8.0,,,3.0
Curology,12.0,12.0,,,Cosmetics,,12.0,12.0,12.0,,,1.0
Edge Systems LLC,12.0,0.0,,,Cosmetics,,0.0,12.0,6.0,,,
Estee Lauder Companies,24.0,0.0,,,Cosmetics,,0.0,24.0,12.0,,,
Mac Cosmetics,12.0,8.0,,,Cosmetics,,8.0,12.0,10.0,,,1.5
Revlon,12.0,12.0,,,Cosmetics,,12.0,12.0,12.0,,,1.0
BAE Systems,2.0,12.0,,,Defense and Space,,12.0,2.0,7.0,,,0.16666666666666666
L3Harris,5.0,3.0,,,Defense and Space,,3.0,5.0,4.0,,,1.6666666666666667
Sierra Nevada Corperation,5.0,8.0,,,Defense and Space,,8.0,5.0,6.5,,,0.625
Textron Systems,2.0,0.0,,,Defense and Space,,0.0,2.0,1.0,,,
10up,4.0,12.0,,,Design,,12.0,4.0,8.0,,,0.3333333333333333
Kettle,12.0,12.0,,,Design,,12.0,12.0,12.0,,,1.0
Reaktor,16.0,8.0,,,Design,,8.0,16.0,12.0,,,2.0
Bard College,8.0,6.0,,,Educational Services,College and Universities,6.0,8.0,7.0,,,1.3333333333333333
Bryant University,0.0,6.0,,,Educational Services,College and Universities,6.0,0.0,3.0,,,0.0
California State University,4.0,12.0,,,Educational Services,College and Universities,12.0,4.0,8.0,,,0.3333333333333333
Capella University,12.0,4.0,,,Educational Services,College and Universities,4.0,12.0,8.0,,,3.0
Case Western Reserve University,7.0,0.0,,,Educational Services,College and Universities,0.0,7.0,3.5,,,
Colorado State University,3.0,9.0,,,Educational Services,College and Universities,9.0,3.0,6.0,,,0.3333333333333333
Columbia University,6.0,12.0,,,Educational Services,College and Universities,12.0,6.0,9.0,,,0.5
Columbia University Information Technology,6.0,6.0,,,Educational Services,College and Universities,6.0,6.0,6.0,,,1.0
Dartmouth College,2.0,8.0,,,Educational Services,College and Universities,8.0,2.0,5.0,,,0.25
Dickinson College,12.0,,6.0,,Educational Services,College and Universities,,9.0,9.0,6.0,,
Duke University,6.0,9.0,,,Educational Services,College and Universities,9.0,6.0,7.5,,,0.6666666666666666
Ferris State University,6.0,6.0,,,Educational Services,College and Universities,6.0,6.0,6.0,,,1.0
Florida International University,6.0,12.0,,,Educational Services,College and Universities,12.0,6.0,9.0,,,0.5
Georgetown University,8.0,0.0,,,Educational Services,College and Universities,0.0,8.0,4.0,,,
Griffith University,26.0,26.0,,,Educational Services,College and Universities,26.0,26.0,26.0,,,1.0
Harvard Business School,16.0,7.0,,,Educational Services,College and Universities,7.0,16.0,11.5,,,2.2857142857142856
Harvard University,12.0,12.0,,,Educational Services,College and Universities,12.0,12.0,12.0,,,1.0
Imperial College London,18.0,20.0,,,Educational Services,College and Universities,20.0,18.0,19.0,,,0.9
Indiana University,6.0,12.0,,,Educational Services,College and Universities,12.0,6.0,9.0,,,0.5
IUPUI,6.0,6.0,,,Educational Services,College and Universities,6.0,6.0,6.0,,,1.0
Johns Hopkins University,10.0,12.0,,,Educational Services,College and Universities,12.0,10.0,11.0,,,0.8333333333333334
Johns Hopkins University Applied Physics Laboratory,2.0,26.0,,,Educational Services,College and Universities,26.0,2.0,14.0,,,0.07692307692307693
Lasell College,12.0,0.0,,,Educational Services,College and Universities,0.0,12.0,6.0,,,
Marquette University,8.0,0.0,,,Educational Services,College and Universities,0.0,8.0,4.0,,,
Medical University of South Carolina,6.0,6.0,,,Educational Services,College and Universities,6.0,6.0,6.0,,,1.0
New York University,12.0,0.0,,,Educational Services,College and Universities,0.0,12.0,6.0,,,
Northeastern University,8.0,4.0,,,Educational Services,College and Universities,4.0,8.0,6.0,,,2.0
Northwestern University,9.0,6.0,,,Educational Services,College and Universities,6.0,9.0,7.5,,,1.5
NYU School of Medicine,5.0,24.0,,,Educational Services,College and Universities,24.0,5.0,14.5,,,0.20833333333333334
Rutgers University,6.0,12.0,,,Educational Services,College and Universities,12.0,6.0,9.0,,,0.5
The George Washington University,6.0,2.0,,,Educational Services,College and Universities,2.0,6.0,4.0,,,3.0
The Ohio State University,12.0,12.0,,,Educational Services,College and Universities,12.0,12.0,12.0,,,1.0
Tufts University,12.0,4.0,,,Educational Services,College and Universities,4.0,12.0,8.0,,,3.0
UCLA,13.0,9.0,,,Educational Services,College and Universities,9.0,13.0,11.0,,,1.4444444444444444
University at Buffalo,12.0,12.0,,,Educational Services,College and Universities,12.0,12.0,12.0,,,1.0
University of Arizona,6.0,3.0,,,Educational Services,College and Universities,3.0,6.0,4.5,,,2.0
University of British Columbia,52.0,0.0,,,Educational Services,College and Universities,0.0,52.0,26.0,,,
University of California Berkeley,12.0,12.0,,,Educational Services,College and Universities,12.0,12.0,12.0,,,1.0
University of Massachusetts Amherst,12.0,24.0,,,Educational Services,College and Universities,24.0,12.0,18.0,,,0.5
University of Michigan,12.0,12.0,,,Educational Services,College and Universities,12.0,12.0,12.0,,,1.0
University of New Hampshire,12.0,0.0,,,Educational Services,College and Universities,0.0,12.0,6.0,,,
University of Notre Dame,12.0,12.0,,,Educational Services,College and Universities,12.0,12.0,12.0,,,1.0
University of Tampa,6.0,6.0,,,Educational Services,College and Universities,6.0,6.0,6.0,,,1.0
Utah State University,4.0,,0.0,,Educational Services,College and Universities,,2.0,2.0,4.0,,
Virgina Commonwealth University,4.0,4.0,,,Educational Services,College and Universities,4.0,4.0,4.0,,,1.0
Webster University,6.0,6.0,,,Educational Services,College and Universities,6.0,6.0,6.0,,,1.0
Wheaton College,4.0,0.0,,,Educational Services,College and Universities,0.0,4.0,2.0,,,
360DigiTMG,2.0,4.0,,,Educational Services,E-Learning,4.0,2.0,3.0,,,0.5
Chegg,10.0,12.0,,,Educational Services,E-Learning,12.0,10.0,11.0,,,0.8333333333333334
Clever,12.0,0.0,,,Educational Services,E-Learning,0.0,12.0,6.0,,,
Degreed,32.0,46.0,,,Educational Services,E-Learning,46.0,32.0,39.0,,,0.6956521739130435
Imagine Learning,6.0,0.0,,,Educational Services,E-Learning,0.0,6.0,3.0,,,
Pluralsight,6.0,0.0,,,Educational Services,E-Learning,0.0,6.0,3.0,,,
Renaissance Learning,9.0,6.0,,,Educational Services,E-Learning,6.0,9.0,7.5,,,1.5
Skillcrush,8.0,8.0,,,Educational Services,E-Learning,8.0,8.0,8.0,,,1.0
Soomo Learning,12.0,0.0,,,Educational Services,E-Learning,0.0,12.0,6.0,,,
Zearn,12.0,4.0,,,Educational Services,E-Learning,4.0,12.0,8.0,,,3.0
CIEE,12.0,12.0,,,Educational Services,Management,12.0,12.0,12.0,,,1.0
