company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
Mcgraw Hill,10.5,12.0,,,Publishing,,12.0,10.5,11.25,,,0.875
Penguin Random House,10.0,0.0,,,Publishing,,0.0,10.0,5.0,,,
NavigatorCRE,6.0,0.0,,,Real Estate,,0.0,6.0,3.0,,,
Keller Williams Realty,13.0,0.0,,,Real Estate,Brokers,0.0,13.0,6.5,,,
Redfin,16.0,4.0,,,Real Estate,Brokers,4.0,16.0,10.0,,,4.0
Square Yards,12.0,13.0,,,Real Estate,Brokers,13.0,12.0,12.5,,,0.9230769230769231
Wyse Home Team Realty,4.0,52.0,,,Real Estate,Brokers,52.0,4.0,28.0,,,0.07692307692307693
CBRE,6.0,1.0,,,Real Estate,Development and Management,1.0,6.0,3.5,,,6.0
HILLS Properties,8.0,4.0,,,Real Estate,Development and Management,4.0,8.0,6.0,,,2.0
Jones Lang LaSalle,4.0,12.0,,,Real Estate,Development and Management,12.0,4.0,8.0,,,0.3333333333333333
Ryan Companies,12.0,6.0,,,Real Estate,Development and Management,6.0,12.0,9.0,,,2.0
The Howard Hughes Corporation,12.0,0.0,,,Real Estate,Development and Management,0.0,12.0,6.0,,,
David Weekley Homes,12.0,24.0,,,Real Estate,Home Building,24.0,12.0,18.0,,,0.5
PGIM Real Estate,8.0,4.0,,,Real Estate,Investment Trust,4.0,8.0,6.0,,,2.0
Uniti,4.0,2.0,,,Real Estate,Investment Trust,2.0,4.0,3.0,,,2.0
Blanton Turner,4.0,12.0,,,Real Estate,Management,12.0,4.0,8.0,,,0.3333333333333333
Love's,8.0,6.0,,,Retail,Convenience Store,6.0,8.0,7.0,,,1.3333333333333333
Hallmark Cards,8.0,20.0,,,Retail,"Crafts, Fabrics and Party Supplies",20.0,8.0,14.0,,,0.4
Michaels,8.0,0.0,,,Retail,"Crafts, Fabrics and Party Supplies",0.0,8.0,4.0,,,
Belk,8.0,4.0,,,Retail,Department Store,4.0,8.0,6.0,,,2.0
Bloomingdale's,12.0,0.0,,,Retail,Department Store,0.0,12.0,6.0,,,
Macy's,11.5,6.0,,,Retail,Department Store,6.0,11.5,8.75,,,1.9166666666666667
Myer,12.0,52.0,,,Retail,Department Store,52.0,12.0,32.0,,,0.23076923076923078
Nordstrom,12.0,3.0,,,Retail,Department Store,3.0,12.0,7.5,,,4.0
Aldi USA,6.0,4.0,,,Retail,Discount Store,4.0,6.0,5.0,,,1.5
BJs Wholesale Club,10.0,2.0,,,Retail,Discount Store,2.0,10.0,6.0,,,5.0
Costco,8.0,2.0,,,Retail,Discount Store,2.0,8.0,5.0,,,4.0
Dollar General,8.0,0.0,,,Retail,Discount Store,0.0,8.0,4.0,,,
Ross Stores,6.0,6.0,,,Retail,Discount Store,6.0,6.0,6.0,,,1.0
Sprouts Farmers Market,3.5,5.5,,,Retail,Discount Store,5.5,3.5,4.5,,,0.6363636363636364
Best Buy,12.0,0.0,,,Retail,Electronics,0.0,12.0,6.0,,,
Crutchfield,2.0,20.0,,,Retail,Electronics,20.0,2.0,11.0,,,0.1
Telstra,18.0,52.0,,,Retail,Electronics,52.0,18.0,35.0,,,0.34615384615384615
Central Garden & Pet,6.0,6.0,,,Retail,Furniture and Home Improvement,6.0,6.0,6.0,,,1.0
Floor & Decor,2.0,6.0,,,Retail,Furniture and Home Improvement,6.0,2.0,4.0,,,0.3333333333333333
Sleep Number,4.5,3.0,,,Retail,Furniture and Home Improvement,3.0,4.5,3.75,,,1.5
Williams Sonoma,26.0,8.0,,,Retail,Furniture and Home Improvement,8.0,26.0,17.0,,,3.25
Kroger,8.0,4.0,,,Retail,General Merchandise,4.0,8.0,6.0,,,2.0
LoweÕs Home Improvement,11.0,0.0,,,Retail,General Merchandise,0.0,11.0,5.5,,,
Petco,2.0,52.0,,,Retail,General Merchandise,52.0,2.0,27.0,,,0.038461538461538464
Petsmart,8.0,4.0,,,Retail,General Merchandise,4.0,8.0,6.0,,,2.0
Tesco PLC,27.0,18.0,,,Retail,General Merchandise,18.0,27.0,22.5,,,1.5
Signet Jewelers,9.0,3.0,,,Retail,Jewelery,3.0,9.0,6.0,,,3.0
Drizly,6.0,6.0,,,Retail,Liquor,6.0,6.0,6.0,,,1.0
Custom Ink,3.0,8.0,,,Retail,Online,8.0,3.0,5.5,,,0.375
Overstock.com,4.0,,4.0,,Retail,Online,,4.0,4.0,0.0,,
Zola,12.0,4.0,,,Retail,Online,4.0,12.0,8.0,,,3.0
Academy Sports + Outdoors,6.0,1.0,,,Retail,Other,1.0,6.0,3.5,,,6.0
Accent Decor,3.0,12.0,,,Retail,Other,12.0,3.0,7.5,,,0.25
Guitar Center,7.0,2.0,,,Retail,Other,2.0,7.0,4.5,,,3.5
Marshall Retail Group,9.0,0.0,,,Retail,Other,0.0,9.0,4.5,,,
Uncommon Goods,10.0,2.0,,,Retail,Other,2.0,10.0,6.0,,,5.0
ANN Inc.,6.0,6.0,,,Retail,"Shoes, Accessories and Apparel",6.0,6.0,6.0,,,1.0
Athleta,15.0,0.0,,,Retail,"Shoes, Accessories and Apparel",0.0,15.0,7.5,,,
Calvin Klein,8.0,4.0,,,Retail,"Shoes, Accessories and Apparel",4.0,8.0,6.0,,,2.0
DICK'S Sporting Goods,9.0,4.0,,,Retail,"Shoes, Accessories and Apparel",4.0,9.0,6.5,,,2.25
DSW,11.0,0.0,,,Retail,"Shoes, Accessories and Apparel",0.0,11.0,5.5,,,
Esprit,6.0,16.0,,,Retail,"Shoes, Accessories and Apparel",16.0,6.0,11.0,,,0.375
Evisons,6.0,0.0,,,Retail,"Shoes, Accessories and Apparel",0.0,6.0,3.0,,,
Fossil,6.0,9.0,,,Retail,"Shoes, Accessories and Apparel",9.0,6.0,7.5,,,0.6666666666666666
Haggar,6.0,24.0,,,Retail,"Shoes, Accessories and Apparel",24.0,6.0,15.0,,,0.25
Hollister,6.0,12.0,,,Retail,"Shoes, Accessories and Apparel",12.0,6.0,9.0,,,0.5
J.Crew,4.5,4.0,,,Retail,"Shoes, Accessories and Apparel",4.0,4.5,4.25,,,1.125
"Jockey International, Inc.",6.0,6.0,,,Retail,"Shoes, Accessories and Apparel",6.0,6.0,6.0,,,1.0
Lands' End,8.0,4.0,,,Retail,"Shoes, Accessories and Apparel",4.0,8.0,6.0,,,2.0
Levi Strauss & Co.,12.0,21.0,,,Retail,"Shoes, Accessories and Apparel",21.0,12.0,16.5,,,0.5714285714285714
Lululemon Athletica,24.0,0.0,,,Retail,"Shoes, Accessories and Apparel",0.0,24.0,12.0,,,
New Balance,20.0,4.0,,,Retail,"Shoes, Accessories and Apparel",4.0,20.0,12.0,,,5.0
PVH Corp.,6.0,4.0,,,Retail,"Shoes, Accessories and Apparel",4.0,6.0,5.0,,,1.5
"Reebok International, Ltd.",8.0,8.0,,,Retail,"Shoes, Accessories and Apparel",8.0,8.0,8.0,,,1.0
REI,16.0,6.0,,,Retail,"Shoes, Accessories and Apparel",6.0,16.0,11.0,,,2.6666666666666665
Trunk Club,12.0,0.0,,,Retail,"Shoes, Accessories and Apparel",0.0,12.0,6.0,,,
Uniqlo,0.0,0.0,,,Retail,"Shoes, Accessories and Apparel",0.0,0.0,0.0,,,
Meredith Digital,12.0,0.0,,,Retail,Stationary and Office Supplies,0.0,12.0,6.0,,,
Office Depot,6.0,8.0,,,Retail,Stationary and Office Supplies,8.0,6.0,7.0,,,0.75
Ahold Delhaize,6.0,6.0,,,Retail,Supermarket Company,6.0,6.0,6.0,,,1.0
Family Dollar,9.0,0.0,,,Retail,Supermarket Company,0.0,9.0,4.5,,,
Hy-Vee,8.0,4.0,,,Retail,Supermarket Company,4.0,8.0,6.0,,,2.0
Lowes Foods,15.0,15.0,,,Retail,Supermarket Company,15.0,15.0,15.0,,,1.0
CozyKin,6.0,6.0,,,Services,Daycare,6.0,6.0,6.0,,,1.0
EasyWayPaper,30.0,5.0,,,Services,Other,5.0,30.0,17.5,,,6.0
Essay 4 Students,25.0,5.0,,,Services,Other,5.0,25.0,15.0,,,5.0
Industrious,0.0,4.0,,,Services,Other,4.0,0.0,2.0,,,0.0
International SOS,16.0,0.0,,,Services,Other,0.0,16.0,8.0,,,
Sunrun,10.0,0.0,,,Services,Other,0.0,10.0,5.0,,,
Terminix,13.0,6.5,,,Services,Other,6.5,13.0,9.75,,,2.0
Uno Assignment Help,4.0,6.0,,,Services,Other,6.0,4.0,5.0,,,0.6666666666666666
TransPerfect,8.0,4.0,,,Services,Translation,4.0,8.0,6.0,,,2.0
"Clean Harbors, Inc.",0.0,12.0,,,Services,Waste Management,12.0,0.0,6.0,,,0.0
"Republic Services, Inc.",8.0,0.0,,,Services,Waste Management,0.0,8.0,4.0,,,
Waste Connections,6.0,12.0,,,Services,Waste Management,12.0,6.0,9.0,,,0.5
WIN Waste Innovations,12.0,12.0,,,Services,Waste Management,12.0,12.0,12.0,,,1.0
Nike,12.0,12.0,,,Sporting Goods,,12.0,12.0,12.0,,,1.0
Trek Bikes,12.0,0.0,,,Sporting Goods,,0.0,12.0,6.0,,,
National Football League,16.0,0.0,,,Sports,,0.0,16.0,8.0,,,
Round Rock Express,1.0,0.0,,,Sports,,0.0,1.0,0.5,,,
Braze,18.0,2.0,,,Technology,,2.0,18.0,10.0,,,9.0
Akamai,11.0,6.0,,,Technology,B2B Tech Services,6.0,11.0,8.5,,,1.8333333333333333
Amazon Web Services,12.0,5.5,,,Technology,B2B Tech Services,5.5,12.0,8.75,,,2.1818181818181817
Atos,8.0,0.0,,,Technology,B2B Tech Services,0.0,8.0,4.0,,,
Bepress,14.0,26.0,,,Technology,B2B Tech Services,26.0,14.0,20.0,,,0.5384615384615384
CACI International,3.0,9.0,,,Technology,B2B Tech Services,9.0,3.0,6.0,,,0.3333333333333333
CDK Global,9.0,25.5,,,Technology,B2B Tech Services,25.5,9.0,17.25,,,0.35294117647058826
Chartbeat,26.0,26.0,,,Technology,B2B Tech Services,26.0,26.0,26.0,,,1.0
Cognizant,4.0,2.0,,,Technology,B2B Tech Services,2.0,4.0,3.0,,,2.0
Cubic Corporation,4.0,0.0,,,Technology,B2B Tech Services,0.0,4.0,2.0,,,
"Datto, Inc.",16.0,0.0,,,Technology,B2B Tech Services,0.0,16.0,8.0,,,
"DMI, Inc.",2.0,6.0,,,Technology,B2B Tech Services,6.0,2.0,4.0,,,0.3333333333333333
Impinj,12.0,0.0,,,Technology,B2B Tech Services,0.0,12.0,6.0,,,
Iron Mountain,5.0,9.0,,,Technology,B2B Tech Services,9.0,5.0,7.0,,,0.5555555555555556
Knowable,11.0,2.0,,,Technology,B2B Tech Services,2.0,11.0,6.5,,,5.5
Leidos,4.0,5.0,,,Technology,B2B Tech Services,5.0,4.0,4.5,,,0.8
Luxoft,26.0,12.0,,,Technology,B2B Tech Services,12.0,26.0,19.0,,,2.1666666666666665
MediaMath,10.0,0.0,,,Technology,B2B Tech Services,0.0,10.0,5.0,,,
MEDITECH,16.0,0.0,,,Technology,B2B Tech Services,0.0,16.0,8.0,,,
MPAY,4.0,0.0,,,Technology,B2B Tech Services,0.0,4.0,2.0,,,
NCR Corporation,17.0,20.0,,,Technology,B2B Tech Services,20.0,17.0,18.5,,,0.85
Optoro,6.0,5.0,,,Technology,B2B Tech Services,5.0,6.0,5.5,,,1.2
Quantcast,4.0,8.0,,,Technology,B2B Tech Services,8.0,4.0,6.0,,,0.5
Recurly,6.0,0.0,,,Technology,B2B Tech Services,0.0,6.0,3.0,,,
Sirius Computer Solutions,4.0,8.0,,,Technology,B2B Tech Services,8.0,4.0,6.0,,,0.5
Teradata,8.0,8.0,,,Technology,B2B Tech Services,8.0,8.0,8.0,,,1.0
Twilio,16.0,20.0,,,Technology,B2B Tech Services,20.0,16.0,18.0,,,0.8
Unisys,12.0,0.0,,,Technology,B2B Tech Services,0.0,12.0,6.0,,,
Volt Information Sciences,6.0,6.0,,,Technology,B2B Tech Services,6.0,6.0,6.0,,,1.0
Wipro,16.0,8.0,,,Technology,B2B Tech Services,8.0,16.0,12.0,,,2.0
Airbnb,21.0,2.0,,,Technology,Consumer Internet,2.0,21.0,11.5,,,10.5
AOL,12.0,12.0,,,Technology,Consumer Internet,12.0,12.0,12.0,,,1.0
BentoBox,12.0,0.0,,,Technology,Consumer Internet,0.0,12.0,6.0,,,
BlaBlaCar,12.0,0.0,,,Technology,Consumer Internet,0.0,12.0,6.0,,,
Booking.com,22.0,10.5,,,Technology,Consumer Internet,10.5,22.0,16.25,,,2.0952380952380953
CampusLogic,10.0,0.0,,,Technology,Consumer Internet,0.0,10.0,5.0,,,
CarMax,6.0,9.0,,,Technology,Consumer Internet,9.0,6.0,7.5,,,0.6666666666666666
Carsales,16.0,,2.0,,Technology,Consumer Internet,,9.0,9.0,14.0,,
ChowNow,15.0,0.0,,,Technology,Consumer Internet,0.0,15.0,7.5,,,
Cloudworkers,52.0,0.0,,,Technology,Consumer Internet,0.0,52.0,26.0,,,
Comoto Holdings,12.0,26.0,,,Technology,Consumer Internet,26.0,12.0,19.0,,,0.46153846153846156
Divercity,1.0,1.0,,,Technology,Consumer Internet,1.0,1.0,1.0,,,1.0
DoorDash,10.0,0.0,,,Technology,Consumer Internet,0.0,10.0,5.0,,,
Freewheel,12.0,4.0,,,Technology,Consumer Internet,4.0,12.0,8.0,,,3.0
Genius,12.0,4.0,,,Technology,Consumer Internet,4.0,12.0,8.0,,,3.0
GoDaddy,17.0,9.0,,,Technology,Consumer Internet,9.0,17.0,13.0,,,1.8888888888888888
Groupon,14.0,0.0,,,Technology,Consumer Internet,0.0,14.0,7.0,,,
Grubhub,12.0,0.0,,,Technology,Consumer Internet,0.0,12.0,6.0,,,
Ibotta,4.0,0.0,,,Technology,Consumer Internet,0.0,4.0,2.0,,,
Indiegogo,10.0,10.0,,,Technology,Consumer Internet,10.0,10.0,10.0,,,1.0
Justworks,14.0,2.0,,,Technology,Consumer Internet,2.0,14.0,8.0,,,7.0
LaunchGood,12.0,12.0,,,Technology,Consumer Internet,12.0,12.0,12.0,,,1.0
Lyft,12.0,18.0,,,Technology,Consumer Internet,18.0,12.0,15.0,,,0.6666666666666666
Match,16.0,0.0,,,Technology,Consumer Internet,0.0,16.0,8.0,,,
Match Group,14.0,0.0,,,Technology,Consumer Internet,0.0,14.0,7.0,,,
Meta,22.0,0.0,,,Technology,Consumer Internet,0.0,22.0,11.0,,,
MindSumo,12.0,0.0,,,Technology,Consumer Internet,0.0,12.0,6.0,,,
Nerdwallet,12.0,0.0,,,Technology,Consumer Internet,0.0,12.0,6.0,,,
Netflix,52.0,0.0,,,Technology,Consumer Internet,0.0,52.0,26.0,,,
"Noom, inc.",12.0,6.0,,,Technology,Consumer Internet,6.0,12.0,9.0,,,2.0
Offerup,8.0,8.0,,,Technology,Consumer Internet,8.0,8.0,8.0,,,1.0
OLX Group,19.5,26.0,,,Technology,Consumer Internet,26.0,19.5,22.75,,,0.75
ON Semiconductor,4.0,2.0,,,Technology,Consumer Internet,2.0,4.0,3.0,,,2.0
Peapod Digital Labs,12.0,6.0,,,Technology,Consumer Internet,6.0,12.0,9.0,,,2.0
Postmates,16.0,,16.0,,Technology,Consumer Internet,,16.0,16.0,0.0,,
Rally Health,18.0,0.0,,,Technology,Consumer Internet,0.0,18.0,9.0,,,
Reddit,16.0,,16.0,,Technology,Consumer Internet,,16.0,16.0,0.0,,
Shopify,26.0,26.0,,,Technology,Consumer Internet,26.0,26.0,26.0,,,1.0
Spotify,24.0,2.5,,,Technology,Consumer Internet,2.5,24.0,13.25,,,9.6
Spring Health,18.0,0.0,,,Technology,Consumer Internet,0.0,18.0,9.0,,,
Squarespace,20.0,0.0,,,Technology,Consumer Internet,0.0,20.0,10.0,,,
Travelzoo,4.0,0.0,,,Technology,Consumer Internet,0.0,4.0,2.0,,,
Twitter,20.0,2.5,,,Technology,Consumer Internet,2.5,20.0,11.25,,,8.0
WorkMarket,10.0,4.0,,,Technology,Consumer Internet,4.0,10.0,7.0,,,2.5
Yelp,14.0,0.0,,,Technology,Consumer Internet,0.0,14.0,7.0,,,
YouTube,15.0,2.0,,,Technology,Consumer Internet,2.0,15.0,8.5,,,7.5
Zillow,4.0,2.0,,,Technology,Consumer Internet,2.0,4.0,3.0,,,2.0
Zumper,12.0,0.0,,,Technology,Consumer Internet,0.0,12.0,6.0,,,
Enova,10.0,0.0,,,Technology,Financial Services,0.0,10.0,5.0,,,
Funding Circle,13.0,,2.0,,Technology,Financial Services,,7.5,7.5,11.0,,
Kabbage,12.0,0.0,,,Technology,Financial Services,0.0,12.0,6.0,,,
Amazon Games,12.0,12.0,,,Technology,Gaming,12.0,12.0,12.0,,,1.0
Roblox,16.0,0.5,,,Technology,Gaming,0.5,16.0,8.25,,,32.0
Advantest,12.0,0.0,,,Technology,Manufacturing,0.0,12.0,6.0,,,
Analog Devices,8.0,3.0,,,Technology,Manufacturing,3.0,8.0,5.5,,,2.6666666666666665
Aruba Networks,24.0,2.0,,,Technology,Manufacturing,2.0,24.0,13.0,,,12.0
Cadence Design Systems,12.0,4.0,,,Technology,Manufacturing,4.0,12.0,8.0,,,3.0
Cirrus Logic,12.0,0.0,,,Technology,Manufacturing,0.0,12.0,6.0,,,
Ericsson,16.0,0.0,,,Technology,Manufacturing,0.0,16.0,8.0,,,
GlobalFoundries,20.0,0.0,,,Technology,Manufacturing,0.0,20.0,10.0,,,
HP Inc.,14.0,6.0,,,Technology,Manufacturing,6.0,14.0,10.0,,,2.3333333333333335
Infineon Technologies,1.0,,1.0,,Technology,Manufacturing,,1.0,1.0,0.0,,
Itron,12.0,4.0,,,Technology,Manufacturing,4.0,12.0,8.0,,,3.0
Juniper Networks,16.0,46.0,,,Technology,Manufacturing,46.0,16.0,31.0,,,0.34782608695652173
KLA-Tencor Corporation,12.0,6.0,,,Technology,Manufacturing,6.0,12.0,9.0,,,2.0
Lenovo,24.0,0.0,,,Technology,Manufacturing,0.0,24.0,12.0,,,
Markforged,6.0,12.0,,,Technology,Manufacturing,12.0,6.0,9.0,,,0.5
Molecular Devices,14.0,4.0,,,Technology,Manufacturing,4.0,14.0,9.0,,,3.5
National Instruments,6.0,12.0,,,Technology,Manufacturing,12.0,6.0,9.0,,,0.5
Roku,16.0,8.0,,,Technology,Manufacturing,8.0,16.0,12.0,,,2.0
Seagate Technology,16.0,0.0,,,Technology,Manufacturing,0.0,16.0,8.0,,,
Siemens Energy,6.0,4.0,,,Technology,Manufacturing,4.0,6.0,5.0,,,1.5
Snap Inc.,14.0,8.0,,,Technology,Manufacturing,8.0,14.0,11.0,,,1.75
Texas Instruments,12.0,,4.0,,Technology,Manufacturing,,8.0,8.0,8.0,,
Currencycloud,13.0,0.0,,,Technology,Payments,0.0,13.0,6.5,,,
Gusto,16.0,10.0,,,Technology,Payments,10.0,16.0,13.0,,,1.6
Ingenico Group,12.0,40.0,,,Technology,Payments,40.0,12.0,26.0,,,0.3
MineralTree,12.0,0.0,,,Technology,Payments,0.0,12.0,6.0,,,
Pangea Money Transfer,12.0,0.0,,,Technology,Payments,0.0,12.0,6.0,,,
PayPal,13.0,3.0,,,Technology,Payments,3.0,13.0,8.0,,,4.333333333333333
Plastiq,12.0,6.0,,,Technology,Payments,6.0,12.0,9.0,,,2.0
Ramp,12.0,0.0,,,Technology,Payments,0.0,12.0,6.0,,,
Square,16.0,0.0,,,Technology,Payments,0.0,16.0,8.0,,,
Magic Leap,18.0,0.0,,,Technology,Research,0.0,18.0,9.0,,,
ADT Security Services,5.0,5.0,,,Technology,Security,5.0,5.0,5.0,,,1.0
Alarm.com,8.0,0.0,,,Technology,Security,0.0,8.0,4.0,,,
Brivo,8.0,0.0,,,Technology,Security,0.0,8.0,4.0,,,
Coalfire,10.0,6.0,,,Technology,Security,6.0,10.0,8.0,,,1.6666666666666667
CrowdStrike,9.0,11.0,,,Technology,Security,11.0,9.0,10.0,,,0.8181818181818182
Entrust,12.0,2.0,,,Technology,Security,2.0,12.0,7.0,,,6.0
RSA,18.0,0.0,,,Technology,Security,0.0,18.0,9.0,,,
Trustwave Holdings,12.0,12.0,,,Technology,Security,12.0,12.0,12.0,,,1.0
Agilysys,6.0,0.0,,,Technology,Software,0.0,6.0,3.0,,,
Alkami Technology,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Alteryx,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Amplitude,12.0,,12.0,,Technology,Software,,12.0,12.0,0.0,,
Anant Corporation,4.0,2.0,,,Technology,Software,2.0,4.0,3.0,,,2.0
Ansys,6.0,6.0,,,Technology,Software,6.0,6.0,6.0,,,1.0
AppDynamics,13.0,0.0,,,Technology,Software,0.0,13.0,6.5,,,
Aquicore,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
ArisGlobal,12.0,4.0,,,Technology,Software,4.0,12.0,8.0,,,3.0
Atlassian,25.0,0.0,,,Technology,Software,0.0,25.0,12.5,,,
Automox,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
"Aware, Inc",15.5,0.0,,,Technology,Software,0.0,15.5,7.75,,,
Axon,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
"Bentley Systems, Inc.",6.0,6.0,,,Technology,Software,6.0,6.0,6.0,,,1.0
BigCommerce,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Bitdefender,52.0,52.0,,,Technology,Software,52.0,52.0,52.0,,,1.0
Blackbaud,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Bullhorn,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
CallRail,6.0,12.0,,,Technology,Software,12.0,6.0,9.0,,,0.5
Canva,18.0,23.0,,,Technology,Software,23.0,18.0,20.5,,,0.782608695652174
CareValidate,8.0,0.0,,,Technology,Software,0.0,8.0,4.0,,,
CentralSquare Technologies,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Ceridian,14.0,1.0,,,Technology,Software,1.0,14.0,7.5,,,14.0
Citrix,18.0,6.0,,,Technology,Software,6.0,18.0,12.0,,,3.0
ClearPoint Strategy,6.0,0.0,,,Technology,Software,0.0,6.0,3.0,,,
Cludo,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Collective Health,6.0,6.0,,,Technology,Software,6.0,6.0,6.0,,,1.0
Collibra,21.0,6.5,,,Technology,Software,6.5,21.0,13.75,,,3.230769230769231
Community Brands,6.0,12.0,,,Technology,Software,12.0,6.0,9.0,,,0.5
ConsenSys,12.0,12.0,,,Technology,Software,12.0,12.0,12.0,,,1.0
Conviva,6.0,6.0,,,Technology,Software,6.0,6.0,6.0,,,1.0
Convoy,12.0,16.0,,,Technology,Software,16.0,12.0,14.0,,,0.75
Coupa,3.0,9.0,,,Technology,Software,9.0,3.0,6.0,,,0.3333333333333333
Dassault Systemes,7.0,3.0,,,Technology,Software,3.0,7.0,5.0,,,2.3333333333333335
Detechtion Technologies,1.0,4.0,,,Technology,Software,4.0,1.0,2.5,,,0.25
Digit,18.0,0.0,,,Technology,Software,0.0,18.0,9.0,,,
DISCO,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Donnelley Financial Solutions,5.0,8.0,,,Technology,Software,8.0,5.0,6.5,,,0.625
Doximity,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
DxMinds Technologies Inc,10.0,10.0,,,Technology,Software,10.0,10.0,10.0,,,1.0
Dynatrace,52.0,52.0,,,Technology,Software,52.0,52.0,52.0,,,1.0
Ellevation Education,8.0,0.0,,,Technology,Software,0.0,8.0,4.0,,,
Engrain,8.0,0.0,,,Technology,Software,0.0,8.0,4.0,,,
ePublishing,2.0,2.0,,,Technology,Software,2.0,2.0,2.0,,,1.0
Esri,6.0,0.0,,,Technology,Software,0.0,6.0,3.0,,,
Expeed Software,24.0,0.0,,,Technology,Software,0.0,24.0,12.0,,,
Fearless,6.0,3.0,,,Technology,Software,3.0,6.0,4.5,,,2.0
Flexera Software,8.0,8.0,,,Technology,Software,8.0,8.0,8.0,,,1.0
FreshBooks,32.0,0.0,,,Technology,Software,0.0,32.0,16.0,,,
Freshworks,8.0,2.0,,,Technology,Software,2.0,8.0,5.0,,,4.0
Frontline Education,9.0,3.0,,,Technology,Software,3.0,9.0,6.0,,,3.0
Fusion Risk Management,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
GlossGenius,16.0,0.0,,,Technology,Software,0.0,16.0,8.0,,,
Gong,16.0,0.0,,,Technology,Software,0.0,16.0,8.0,,,
GoodCore Software,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Higher Logic,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
"HubSpot, Inc.",16.0,8.0,,,Technology,Software,8.0,16.0,12.0,,,2.0
Hudl,6.0,0.0,,,Technology,Software,0.0,6.0,3.0,,,
"iCIMS, Inc.",14.0,30.0,,,Technology,Software,30.0,14.0,22.0,,,0.4666666666666667
Infor,16.0,0.0,,,Technology,Software,0.0,16.0,8.0,,,
Informatica,16.0,0.0,,,Technology,Software,0.0,16.0,8.0,,,
InsightSquared,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Instructure,3.0,9.0,,,Technology,Software,9.0,3.0,6.0,,,0.3333333333333333
Integrity Software,6.0,46.0,,,Technology,Software,46.0,6.0,26.0,,,0.13043478260869565
Intellimize,14.0,0.0,,,Technology,Software,0.0,14.0,7.0,,,
"Intuit, Inc",12.0,8.0,,,Technology,Software,8.0,12.0,10.0,,,1.5
JHC Systems,52.0,0.0,,,Technology,Software,0.0,52.0,26.0,,,
Juice Analytics,4.0,0.0,,,Technology,Software,0.0,4.0,2.0,,,
Kajabi,1.0,12.0,,,Technology,Software,12.0,1.0,6.5,,,0.08333333333333333
Khoros,12.0,3.0,,,Technology,Software,3.0,12.0,7.5,,,4.0
LevaData,6.0,6.0,,,Technology,Software,6.0,6.0,6.0,,,1.0
Lionbridge,8.0,4.0,,,Technology,Software,4.0,8.0,6.0,,,2.0
Lithero,8.0,4.0,,,Technology,Software,4.0,8.0,6.0,,,2.0
Mad Mobile,2.0,10.0,,,Technology,Software,10.0,2.0,6.0,,,0.2
Maestro,16.0,0.0,,,Technology,Software,0.0,16.0,8.0,,,
Mapbox,10.0,2.0,,,Technology,Software,2.0,10.0,6.0,,,5.0
MaritzCX,12.0,0.0,,,Technology,Software,0.0,12.0,6.0,,,
Medallia,12.0,2.0,,,Technology,Software,2.0,12.0,7.0,,,6.0
Microsoft,12.0,3.0,,,Technology,Software,3.0,12.0,7.5,,,4.0
MicroStrategy,17.0,6.0,,,Technology,Software,6.0,17.0,11.5,,,2.8333333333333335
MobileIron,12.0,16.0,,,Technology,Software,16.0,12.0,14.0,,,0.75
Mode Mobile,4.0,8.0,,,Technology,Software,8.0,4.0,6.0,,,0.5
"MongoDB, Inc.",20.0,0.0,,,Technology,Software,0.0,20.0,10.0,,,
Motus LLC,16.0,0.0,,,Technology,Software,0.0,16.0,8.0,,,
Netskope,6.0,0.0,,,Technology,Software,0.0,6.0,3.0,,,
NetSuite Inc.,16.0,47.0,,,Technology,Software,47.0,16.0,31.5,,,0.3404255319148936
New Relic,12.0,6.0,,,Technology,Software,6.0,12.0,9.0,,,2.0
Nextech,6.0,6.0,,,Technology,Software,6.0,6.0,6.0,,,1.0
NextGen Healthcare,2.0,12.0,,,Technology,Software,12.0,2.0,7.0,,,0.16666666666666666
Nutanix,17.0,0.0,,,Technology,Software,0.0,17.0,8.5,,,
OfferFit,12.0,8.0,,,Technology,Software,8.0,12.0,10.0,,,1.5
Palantir,30.0,38.0,,,Technology,Software,38.0,30.0,34.0,,,0.7894736842105263
